,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,P,,,,,W,W,W,,,,,,,,,W,W,,,,,,,,,,,,,#
#,,W,W,W,W,,W,,W,W,,W,W,W,W,,W,W,W,,W,,W,W,W,W,W,W,W,,#
#,,W,,,,,,,,,W,,,,,,E,,,,W,,W,,,,,,,,#
#,,W,,W,W,W,W,W,W,,W,,W,W,W,W,W,W,,,W,,,,W,W,W,,,W,#
#,,W,,,,,,,,,,,,W,,,,W,,,W,,,W,W,W,W,W,,W,#
#,,W,W,,W,W,W,W,W,W,,W,,,,W,,,,,W,,,,E,,,,,W,#
#,,,,,,,W,,,,,W,,W,W,W,W,W,W,W,,,W,W,W,W,W,W,W,W,#
#,W,W,W,,W,,,,W,W,,,,,E,,,W,,,,,,,,,,,,W,#
#,W,W,,,W,W,W,W,W,W,W,W,W,W,W,W,,W,,W,W,W,W,W,W,W,W,W,,W,#
#,,,,,,,,,,,,W,W,W,W,,,,,,,W,W,W,W,W,D,,,W,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
